"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
8;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MIC2027";;;
9;"U2";"SOT-363_SC-70-6_Handsoldering";1;"SSM6P35A";;;
10;"U3";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"TCA9535PWR";;;
11;"R9,R7";"R_0603_1608Metric";2;"11K";;;
12;"C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"62nF";;;
13;"C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100uF";;;
14;"R6,R5";"R_0603_1608Metric";2;"11k";;;
15;"R8";"R_0603_1608Metric";1;"3k";;;
18;"J10";"Molex_PicoBlade_53398-1071_1x10-1MP_P1.25mm_Vertical";1;"Conn_01x10_Male";;;
19;"R3";"R_0603_1608Metric";1;"4.7k";;;
