Ref,Val,Package,PosX,PosY,Rot,Side
"C3","62nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",127.341517,-24.793745,0.000000,top
"C4","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",127.341517,-21.618745,0.000000,top
"J10","Conn_01x10_Male","Molex_PicoBlade_53398-1071_1x10-1MP_P1.25mm_Vertical",137.246200,-15.474000,0.000000,top
"R3","4.7k","R_0603_1608Metric",124.002800,-34.188400,90.000000,top
"R5","11k","R_0603_1608Metric",84.273201,-23.986049,270.000000,top
"R6","11k","R_0603_1608Metric",93.296961,-24.235833,90.000000,top
"R7","11K","R_0603_1608Metric",88.581722,-52.305926,270.000000,top
"R8","3k","R_0603_1608Metric",81.273201,-23.986049,270.000000,top
"R9","11K","R_0603_1608Metric",136.947770,-11.274957,180.000000,top
"U2","SSM6P35A","SOT-363_SC-70-6_Handsoldering",88.890897,-24.158897,0.000000,top
"U3","TCA9535PWR","TSSOP-24_4.4x7.8mm_P0.65mm",130.148017,-31.160545,90.000000,top
"U4","MIC2027","SOIC-16_3.9x9.9mm_P1.27mm",78.624317,-51.108145,90.000000,top
